Survived,Pclass,SibSp,Parch,Fare,Title,FamilySize,C,Q,S,female,male,Age
0,3,0,2,15.2458,0,3,1,0,0,1,0,0.3672039796007691
0,3,8,2,69.55,1,11,0,0,1,1,0,0.3672039796007691
0,3,2,0,24.15,0,3,0,0,1,0,1,0.2963056044232219
1,1,0,0,31.0,0,1,1,0,0,0,1,0.49736114601658704
1,3,1,1,15.9,2,3,0,0,1,0,1,0.032420206081930136
0,2,0,0,26.0,0,1,0,0,1,0,1,0.4847951746670017
0,3,0,0,7.8958,0,1,0,0,1,0,1,0.3088715757728072
1,3,0,0,9.5,0,1,0,0,1,0,1,0.35913546117114853
0,1,0,0,35.0,0,1,0,0,1,0,1,0.3672039796007691
0,3,0,0,8.6625,0,1,0,0,1,0,1,0.20834380497612465
1,3,0,0,7.2292,0,1,1,0,0,0,1,0.24604171902488062
0,3,1,1,14.4,0,3,0,0,1,0,1,0.4219653179190751
0,3,0,0,7.5208,0,1,0,0,1,0,1,0.2711736617240512
0,3,0,0,10.5167,1,1,0,0,1,1,0,0.2711736617240512
0,3,0,0,10.1708,0,1,0,0,1,0,1,0.2334757476752953
0,1,0,0,30.5,0,1,0,0,1,0,1,0.685850716260367
1,1,0,0,35.5,3,1,1,0,0,0,1,0.6984166876099522
1,3,0,0,8.05,0,1,0,0,1,0,1,0.5601910027645137
0,3,0,0,7.8958,0,1,0,0,1,0,1,0.34656948982156316
1,3,0,0,7.925,0,1,0,0,1,0,1,0.39683337521990447
0,3,0,0,9.225,0,1,0,0,1,0,1,0.24604171902488062
1,1,0,0,35.5,0,1,0,0,1,0,1,0.3672039796007691
0,2,0,0,10.5,0,1,0,0,1,0,1,0.2963056044232219
0,3,0,0,8.05,0,1,0,0,1,0,1,0.32143754712239253
1,3,0,0,7.75,1,1,0,1,0,1,0,0.2711736617240512
0,3,0,0,7.25,0,1,0,0,1,0,1,0.7361146016587082
0,3,0,0,7.25,0,1,0,0,1,0,1,0.3672039796007691
1,2,0,0,33.0,1,1,0,0,1,1,0,0.3672039796007691
0,3,0,0,8.3,0,1,0,0,1,0,1,0.22090977632571
0,1,1,2,151.55,0,4,0,0,1,1,0,0.3088715757728072
1,1,0,0,76.2917,1,1,1,0,0,1,0,0.39683337521990447
0,1,0,0,35.5,0,1,0,0,1,0,1,0.5601910027645137
1,1,0,0,83.1583,1,1,1,0,0,1,0,0.2963056044232219
1,2,1,1,26.25,0,3,0,0,1,1,0,0.5601910027645137
1,3,0,0,7.925,1,1,0,0,1,1,0,0.33400351847197784
0,3,0,0,8.6625,0,1,0,0,1,0,1,0.4722292033174164
1,3,0,0,7.225,0,1,1,0,0,0,1,0.2711736617240512
1,2,0,0,10.5,0,1,0,0,1,0,1,0.7738125157074642
1,3,3,0,15.85,0,4,0,0,1,1,0,0.4093993465694898
1,3,2,0,23.25,0,3,0,1,0,0,1,0.3672039796007691
1,1,0,0,26.55,1,1,0,0,1,1,0,0.723548630309123
0,2,1,1,26.0,0,3,0,0,1,1,0,0.32143754712239253
0,3,0,0,8.05,0,1,0,0,1,0,1,0.3672039796007691
0,3,0,0,9.8375,1,1,0,0,1,1,0,0.2711736617240512
0,3,0,0,8.05,0,1,0,0,1,0,1,0.3672039796007691
0,3,1,6,46.9,0,8,0,0,1,1,0,0.5350590600653431
0,3,3,2,27.9,1,6,0,0,1,1,0,0.01985423473234481
0,3,0,0,7.75,0,1,0,1,0,0,1,0.8115104297562202
0,3,0,0,7.75,0,1,0,1,0,0,1,0.38426740387031916
0,3,0,0,7.75,0,1,0,1,0,0,1,0.3672039796007691
0,3,0,0,8.6625,1,1,0,0,1,1,0,0.24604171902488062
0,3,4,1,29.125,2,6,0,1,0,0,1,0.01985423473234481
0,3,0,0,7.8958,0,1,0,0,1,0,1,0.3672039796007691
0,3,0,0,6.45,0,1,0,0,1,0,1,0.5350590600653431
0,2,1,0,27.0,0,2,0,0,1,0,1,0.5224930887157577
1,2,1,0,24.0,0,2,1,0,0,1,0,0.34656948982156316
1,3,0,3,19.2583,0,4,1,0,0,1,0,0.2963056044232219
1,1,0,0,153.4625,1,1,0,0,1,1,0,0.49736114601658704
0,3,4,2,31.3875,2,7,0,0,1,0,1,0.10781603417944208
1,3,1,1,11.1333,1,3,0,0,1,1,0,0.007288263382759488
0,3,0,0,8.05,0,1,0,0,1,0,1,0.6355868308620256
1,1,1,0,78.2667,1,2,1,0,0,1,0,0.6732847449107816
1,3,0,0,7.2292,0,1,1,0,0,1,0,0.3672039796007691
0,2,0,0,10.5,0,1,0,0,1,0,1,0.35913546117114853
0,3,0,0,7.55,0,1,0,0,1,0,1,0.3672039796007691
0,1,2,0,90.0,3,3,0,1,0,0,1,0.5476250314149284
0,3,0,0,16.1,0,1,0,0,1,0,1,0.35285247549635584
1,2,0,0,12.0,1,1,1,0,0,1,0,0.20834380497612465
0,3,4,1,39.6875,0,6,0,0,1,0,1,0.17064589092736868
0,3,0,0,8.05,0,1,0,0,1,0,1,0.35913546117114853
1,1,0,0,26.2875,0,1,0,0,1,0,1,0.5224930887157577
0,2,0,0,13.0,0,1,0,0,1,0,1,0.4219653179190751
0,2,0,0,11.5,0,1,0,0,1,0,1,0.22090977632571
0,3,1,4,27.9,0,6,0,0,1,1,0,0.5601910027645137
0,2,1,0,24.0,0,2,1,0,0,0,1,0.37170143252073384
0,2,0,0,10.5,0,1,0,0,1,0,1,0.19577783362653933
1,1,0,0,26.55,0,1,0,0,1,0,1,0.5601910027645137
1,2,0,1,19.5,1,2,0,0,1,1,0,0.15807991957778336
0,3,1,1,20.525,0,3,0,0,1,0,1,0.4093993465694898
0,3,0,0,8.05,0,1,0,0,1,0,1,0.2586076903744659
0,1,0,0,79.2,0,1,1,0,0,0,1,0.5727569741140991
1,2,1,1,18.75,2,3,0,0,1,0,1,0.032420206081930136
1,1,0,0,26.55,0,1,0,0,1,0,1,0.5978889168132697
1,2,1,2,27.75,0,4,0,0,1,1,0,0.4093993465694898
1,2,0,0,13.0,1,1,0,0,1,1,0,0.34656948982156316
1,2,1,0,26.0,0,2,0,0,1,1,0,0.34656948982156316
1,2,1,1,23.0,1,3,0,0,1,1,0,0.04498617743151546
1,2,1,1,26.0,1,3,0,0,1,1,0,0.01985423473234481
0,3,1,0,15.85,0,2,0,0,1,0,1,0.39683337521990447
0,3,3,2,27.9,1,6,0,0,1,1,0,0.10781603417944208
0,3,1,5,31.275,0,7,0,0,1,0,1,0.4847951746670017
0,3,0,0,7.8542,0,1,0,0,1,0,1,0.34656948982156316
0,3,1,1,24.15,0,3,0,0,1,1,0,0.37170143252073384
0,2,0,0,0.0,0,1,0,0,1,0,1,0.3672039796007691
1,1,0,0,77.9583,1,1,0,0,1,1,0,0.2586076903744659
0,3,0,0,7.8958,0,1,0,0,1,0,1,0.3672039796007691
0,3,8,2,69.55,0,11,0,0,1,0,1,0.3672039796007691
0,3,0,0,0.0,0,1,0,0,1,0,1,0.610454888162855
0,3,0,0,7.75,0,1,0,0,1,0,1,0.22090977632571
0,2,0,0,13.0,1,1,0,0,1,1,0,0.2963056044232219
1,3,0,0,7.8292,1,1,0,1,0,1,0,0.3672039796007691
0,3,0,0,8.05,0,1,0,0,1,0,1,0.5476250314149284
0,3,1,0,14.5,0,2,0,0,1,1,0,0.5853229454636844
0,3,0,0,8.1375,1,1,0,1,0,1,0,0.3672039796007691
1,3,1,0,7.775,0,2,0,0,1,0,1,0.3088715757728072
0,3,0,0,7.925,0,1,0,0,1,0,1,0.24604171902488062
0,3,0,0,8.6625,0,1,0,0,1,0,1,0.5224930887157577
0,2,0,0,15.0458,0,1,1,0,0,0,1,0.2837396330736366
1,3,1,1,15.9,2,3,0,0,1,0,1,0.10781603417944208
0,3,1,3,34.375,0,5,0,0,1,0,1,0.19577783362653933
0,3,0,0,7.775,0,1,0,0,1,0,1,0.22090977632571
1,2,0,0,10.5,0,1,0,0,1,0,1,0.2334757476752953
0,2,1,0,26.0,0,2,0,0,1,1,0,0.5476250314149284
1,2,1,0,26.0,0,2,0,0,1,1,0,0.2334757476752953
1,1,0,1,39.4,1,2,0,0,1,1,0,0.19577783362653933
0,3,0,0,15.5,0,1,0,1,0,0,1,0.3672039796007691
1,2,1,2,41.5792,0,4,1,0,0,1,0,0.2711736617240512
1,1,1,0,52.5542,0,2,0,0,1,0,1,0.5224930887157577
0,2,0,0,26.0,0,1,0,0,1,0,1,0.6732847449107816
1,2,0,2,26.25,1,3,0,0,1,1,0,0.08268409148027142
0,2,0,0,10.5,0,1,0,0,1,0,1,0.2334757476752953
1,3,1,1,16.7,1,3,0,0,1,1,0,0.04498617743151546
0,3,0,0,7.75,1,1,0,0,1,1,0,0.5601910027645137
0,3,1,0,14.4583,0,2,1,0,0,1,0,0.3672039796007691
0,1,0,2,113.275,0,3,1,0,0,0,1,0.723548630309123
0,3,3,1,21.075,2,5,0,0,1,0,1,0.01985423473234481
1,1,0,0,49.5042,1,1,1,0,0,1,0,0.2963056044232219
0,3,0,0,7.775,0,1,0,0,1,0,1,0.9246041719024881
1,2,0,0,13.0,0,1,0,0,1,0,1,0.4219653179190751
0,2,1,0,26.0,0,2,0,0,1,0,1,0.5476250314149284
0,3,0,0,7.925,0,1,0,0,1,0,1,0.2586076903744659
1,2,2,1,27.0,0,4,0,0,1,1,0,0.2963056044232219
1,3,0,0,7.225,0,1,1,0,0,1,0,0.3672039796007691
0,3,0,0,7.875,0,1,0,0,1,0,1,0.35913546117114853
0,1,0,0,26.55,0,1,0,0,1,0,1,0.6984166876099522
0,3,0,0,9.4833,0,1,0,0,1,0,1,0.35913546117114853
1,3,0,0,7.7375,1,1,0,1,0,1,0,0.3672039796007691
1,1,0,1,55.0,1,2,0,0,1,1,0,0.2711736617240512
1,3,0,0,7.925,0,1,0,0,1,0,1,0.4847951746670017
0,3,2,0,7.925,0,3,0,0,1,0,1,0.34656948982156316
0,3,5,2,46.9,0,8,0,0,1,0,1,0.17064589092736868
1,3,0,0,7.925,0,1,0,0,1,0,1,0.38426740387031916
0,3,0,0,7.65,0,1,0,0,1,0,1,0.2334757476752953
0,3,0,0,9.225,0,1,0,0,1,0,1,0.2837396330736366
0,2,1,1,37.0042,0,3,1,0,0,0,1,0.38426740387031916
0,3,2,0,14.1083,0,3,0,0,1,0,1,0.5099271173661725
1,2,0,0,13.0,1,1,0,0,1,1,0,0.37170143252073384
0,3,4,2,31.275,1,7,0,0,1,1,0,0.1329479768786127
1,1,1,0,82.1708,0,2,1,0,0,1,0,0.3672039796007691
0,3,1,0,19.9667,0,2,0,0,1,0,1,0.3672039796007691
1,3,1,1,11.1333,2,3,0,0,1,0,1,0.04498617743151546
1,3,0,0,7.75,1,1,0,1,0,1,0,0.3672039796007691
0,3,1,4,27.9,0,6,0,0,1,0,1,0.49736114601658704
1,1,0,0,26.55,0,1,1,0,0,0,1,0.4345312892686604
0,3,0,0,8.1583,0,1,0,0,1,0,1,0.2334757476752953
0,3,0,0,7.0542,0,1,0,0,1,0,1,0.6355868308620256
0,1,0,0,79.2,0,1,1,0,0,0,1,0.2963056044232219
0,3,0,0,8.4333,0,1,0,0,1,0,1,0.2586076903744659
1,1,0,0,25.9292,3,1,0,0,1,1,0,0.610454888162855
0,2,0,2,26.0,0,3,0,0,1,0,1,0.4533802462930384
1,3,1,5,31.3875,0,7,0,0,1,1,0,0.4722292033174164
1,2,0,1,33.0,1,2,0,0,1,1,0,0.0701181201306861
0,3,0,0,7.2292,0,1,1,0,0,0,1,0.3672039796007691
0,2,0,0,73.5,0,1,0,0,1,0,1,0.2586076903744659
1,2,0,1,23.0,0,2,0,0,1,1,0,0.4219653179190751
1,1,0,0,86.5,1,1,0,0,1,1,0,0.37170143252073384
1,2,1,0,26.0,0,2,0,0,1,1,0,0.4470972606182458
0,3,0,0,7.2292,0,1,1,0,0,0,1,0.3672039796007691
1,3,0,0,7.55,1,1,0,0,1,1,0,0.2837396330736366
0,2,1,1,36.75,0,3,0,0,1,0,1,0.2334757476752953
1,3,0,0,7.8792,1,1,0,1,0,1,0,0.3672039796007691
1,1,0,2,49.5,1,3,1,0,0,1,0,0.2711736617240512
1,2,0,0,10.5,0,1,0,0,1,1,0,0.35913546117114853
1,2,1,1,39.0,0,3,0,0,1,1,0,0.49736114601658704
1,2,0,0,13.5,0,1,0,0,1,1,0,0.5601910027645137
0,3,0,0,8.05,0,1,0,0,1,0,1,0.2586076903744659
0,2,0,0,10.5,0,1,0,0,1,0,1,0.4470972606182458
1,1,1,0,90.0,1,2,0,1,0,1,0,0.4093993465694898
0,3,1,1,20.25,0,3,0,0,1,0,1,0.19577783362653933
1,3,0,0,7.75,0,1,0,1,0,0,1,0.35913546117114853
0,2,0,0,26.0,0,1,0,0,1,0,1,0.4345312892686604
0,3,0,0,0.0,0,1,0,0,1,0,1,0.2334757476752953
1,3,0,0,7.775,1,1,0,0,1,1,0,0.2711736617240512
0,3,2,0,8.6625,0,3,0,0,1,0,1,0.32143754712239253
0,3,0,0,7.25,0,1,0,0,1,0,1,0.2711736617240512
0,3,0,0,7.25,0,1,0,0,1,0,1,0.3672039796007691
0,1,0,1,77.2875,0,2,0,0,1,0,1,0.2586076903744659
0,3,0,0,9.35,0,1,0,0,1,0,1,0.2711736617240512
1,3,1,0,15.5,1,2,0,1,0,1,0,0.3672039796007691
1,3,0,0,7.25,1,1,0,0,1,1,0,0.2711736617240512
1,2,0,1,26.0,0,2,0,0,1,1,0,0.3088715757728072
1,1,1,0,71.2833,0,2,1,0,0,1,0,0.4722292033174164
1,1,0,2,81.8583,2,3,0,0,1,0,1,0.04498617743151546
0,3,0,0,8.05,0,1,0,0,1,0,1,0.3672039796007691
0,3,0,0,7.925,0,1,0,0,1,0,1,0.4847951746670017
0,3,2,0,18.0,0,3,0,0,1,0,1,0.19577783362653933
0,3,0,0,7.8958,0,1,0,0,1,0,1,0.33400351847197784
1,2,0,0,10.5,0,1,0,0,1,1,0,0.4219653179190751
0,2,0,0,13.0,0,1,0,0,1,0,1,0.4847951746670017
0,3,0,0,7.75,0,1,0,1,0,0,1,0.3672039796007691
0,3,0,0,7.775,0,1,0,0,1,0,1,0.38426740387031916
1,3,0,0,7.8958,0,1,1,0,0,0,1,0.35913546117114853
0,3,0,0,7.2292,0,1,1,0,0,0,1,0.3672039796007691
0,1,0,0,27.7208,0,1,1,0,0,0,1,0.3672039796007691
1,3,0,0,7.75,1,1,0,1,0,1,0,0.3672039796007691
0,3,0,1,16.1,0,2,0,0,1,0,1,0.5476250314149284
0,3,0,0,7.8542,1,1,0,0,1,1,0,0.17064589092736868
0,3,0,0,8.05,0,1,0,0,1,0,1,0.19577783362653933
0,3,0,0,7.8958,0,1,0,0,1,0,1,0.37170143252073384
0,3,0,0,7.4958,0,1,0,0,1,0,1,0.2963056044232219
0,2,0,0,11.5,0,1,0,0,1,0,1,0.22090977632571
0,3,0,0,7.8958,0,1,0,0,1,0,1,0.32143754712239253
1,2,0,0,10.5,1,1,0,0,1,1,0,0.2586076903744659
1,3,0,2,16.7,0,3,0,0,1,1,0,0.2963056044232219
0,3,0,0,8.05,0,1,0,0,1,0,1,0.6921337019351597
0,3,0,0,7.775,0,1,0,0,1,0,1,0.2586076903744659
1,3,0,0,7.925,1,1,0,0,1,1,0,0.32143754712239253
1,3,0,0,7.925,0,1,0,0,1,0,1,0.5476250314149284
1,2,2,3,18.75,0,6,0,0,1,1,0,0.2963056044232219
1,1,1,0,89.1042,0,2,1,0,0,1,0,0.3672039796007691
0,3,0,0,7.8958,0,1,0,0,1,0,1,0.4093993465694898
0,2,0,0,10.5,0,1,0,0,1,0,1,0.34656948982156316
0,2,0,0,26.0,0,1,0,0,1,0,1,0.19577783362653933
1,3,0,0,9.5,0,1,0,0,1,0,1,0.37170143252073384
0,2,0,0,10.5,0,1,0,0,1,0,1,0.39683337521990447
0,3,2,2,34.375,1,5,0,0,1,1,0,0.2586076903744659
0,3,8,2,69.55,0,11,0,0,1,0,1,0.3672039796007691
0,3,0,0,7.125,0,1,0,0,1,0,1,0.5099271173661725
0,3,0,0,7.25,0,1,0,0,1,0,1,0.2711736617240512
1,1,1,0,90.0,0,2,0,0,1,1,0,0.4345312892686604
0,3,0,0,7.65,0,1,0,0,1,0,1,0.5224930887157577
0,3,0,0,9.5,0,1,0,0,1,0,1,0.3672039796007691
0,3,1,0,9.825,1,2,0,0,1,1,0,0.24604171902488062
0,3,4,2,31.275,1,7,0,0,1,1,0,0.01985423473234481
0,3,1,1,24.15,0,3,0,0,1,0,1,0.4470972606182458
0,3,0,5,29.125,0,6,0,1,0,1,0,0.4847951746670017
0,3,0,0,7.225,0,1,1,0,0,0,1,0.3672039796007691
0,3,0,0,7.55,0,1,0,0,1,0,1,0.5224930887157577
0,3,1,0,9.825,1,2,0,0,1,1,0,0.2586076903744659
1,1,0,0,30.0,0,1,0,0,1,0,1,0.3672039796007691
0,2,0,0,73.5,0,1,0,0,1,0,1,0.22090977632571
0,2,0,0,12.875,0,1,1,0,0,0,1,0.4470972606182458
0,1,0,1,153.4625,0,2,0,0,1,0,1,0.4722292033174164
0,3,1,0,14.4542,1,2,1,0,0,1,0,0.17692887660216136
0,3,0,0,7.05,0,1,0,0,1,0,1,0.3088715757728072
1,3,1,0,11.2417,1,2,1,0,0,1,0,0.17064589092736868
1,1,0,0,86.5,1,1,0,0,1,1,0,0.19577783362653933
0,3,0,0,7.8958,0,1,1,0,0,0,1,0.4345312892686604
0,2,1,0,21.0,0,2,0,0,1,1,0,0.33400351847197784
0,3,1,0,15.5,0,2,0,1,0,0,1,0.3672039796007691
0,3,0,0,8.05,0,1,0,0,1,0,1,0.3672039796007691
1,2,1,2,65.0,1,4,0,0,1,1,0,0.2963056044232219
0,3,0,0,7.7958,0,1,0,0,1,0,1,0.22090977632571
1,2,1,1,26.0,2,3,0,0,1,0,1,0.01985423473234481
1,1,1,0,51.8625,0,2,0,0,1,1,0,0.3672039796007691
0,3,0,0,8.6625,0,1,1,0,0,0,1,0.4093993465694898
1,1,0,0,135.6333,1,1,1,0,0,1,0,0.4470972606182458
0,3,0,0,7.7333,0,1,0,1,0,0,1,0.3672039796007691
0,3,0,0,7.8958,0,1,0,0,1,0,1,0.3672039796007691
0,3,1,0,14.4542,1,2,1,0,0,1,0,0.3672039796007691
1,1,1,0,83.475,0,2,0,0,1,1,0,0.4345312892686604
1,2,1,1,30.0,1,3,0,0,1,1,0,0.3088715757728072
0,3,0,0,7.8,0,1,0,0,1,0,1,0.2586076903744659
0,1,1,2,151.55,1,4,0,0,1,1,0,0.01985423473234481
0,3,3,1,25.4667,1,5,0,0,1,1,0,0.3672039796007691
1,1,0,0,29.7,0,1,1,0,0,0,1,0.3672039796007691
1,2,0,0,10.5,1,1,0,0,1,1,0,0.20834380497612465
0,3,2,0,18.0,1,3,0,0,1,1,0,0.22090977632571
0,3,0,0,7.8958,0,1,0,0,1,0,1,0.2711736617240512
1,2,1,2,27.75,1,4,0,0,1,1,0,0.05755214878110078
0,1,0,1,247.5208,0,2,1,0,0,0,1,0.2963056044232219
1,3,1,0,15.5,1,2,0,1,0,1,0,0.3672039796007691
1,3,1,1,15.7417,0,3,1,0,0,0,1,0.24604171902488062
0,3,0,0,14.5,0,1,0,0,1,0,1,0.3672039796007691
0,3,8,2,69.55,0,11,0,0,1,0,1,0.3672039796007691
0,3,0,0,7.75,1,1,0,1,0,1,0,0.3779844181955265
0,1,0,0,26.55,0,1,0,0,1,0,1,0.8115104297562202
1,3,1,2,20.575,2,4,0,0,1,0,1,0.007288263382759488
0,1,0,1,61.3792,0,2,1,0,0,0,1,0.6355868308620256
1,2,0,0,13.0,1,1,0,0,1,1,0,0.40311636089469716
1,3,0,0,7.225,1,1,1,0,0,1,0,0.18321186227695402
0,2,0,0,0.0,0,1,0,0,1,0,1,0.3672039796007691
0,2,0,0,13.0,0,1,0,0,1,0,1,0.2837396330736366
0,3,0,0,9.0,0,1,0,0,1,0,1,0.5853229454636844
0,3,0,0,7.7292,0,1,0,1,0,0,1,0.3672039796007691
0,2,1,0,11.5,0,2,0,0,1,0,1,0.2586076903744659
1,2,1,1,29.0,0,3,0,0,1,1,0,0.2711736617240512
